neighborhood,price,bedrooms,parking,area,bathrooms
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
Centro,150200.0,3,,90,1
Jardim da Penha,920600.0,4,2.0,148,4
Jardim Camburi,238850.0,2,1.0,64,1
Jardim Camburi,340300.0,2,1.0,63,2
Jardim Camburi,580450.0,3,2.0,76,2
Praia do Suá,660610.0,3,2.0,110,3
Centro,370600.0,3,1.0,130,2
Jardim Camburi,330334.0,2,1.0,70,2
Jardim da Penha,440680.0,3,1.0,85,2
Jardim da Penha,890430.0,4,3.0,130,3
Bento Ferreira,375450.0,2,1.0,70,2
Jardim Camburi,280320.0,3,1.0,85,1
Jardim da Penha,435420.0,3,1.0,98,3
Santa Lucia,385580.0,3,1.0,100,2
Jardim Camburi,480430.0,3,2.0,84,2
Bento Ferreira,450700.0,3,1.0,105,2
Barro Vermelho,1201350.0,3,2.0,120,3
Jardim da Penha,420370.0,2,1.0,85,2
Jardim da Penha,800650.0,3,2.0,90,2
Mata da Praia,850550.0,4,2.0,120,3
Praia do Canto,825800.0,3,2.0,110,2
Praia do Suá,1191000.0,4,2.0,142,4
Jardim Camburi,207200.0,2,1.0,55,1
Santa Helena,450600.0,2,2.0,80,2
Jardim da Penha,285150.0,2,1.0,80,2
Vila Velha - ES,349600.0,2,1.0,58,2
Enseada do Suá,1301000.0,3,2.0,142,5
Jardim Camburi,240350.0,3,1.0,90,1
Jardim Camburi,550450.0,3,2.0,90,2
Praia do Canto,2700000.0,4,3.0,178,4
Bento Ferreira,440540.0,3,1.0,95,3
Santa Helena,1696603.0,4,3.0,220,6
Jardim Camburi,350250.0,2,1.0,63,2
Barro Vermelho,490600.0,3,1.0,100,2
